## SLURM PROLOG ###############################################################
##    Job ID : 3676260
##  Job Name : pinn_re40_pt
##  Nodelist : gpu2262
##      CPUs : 
##  Mem/Node : 131072 MB
## Directory : /oscar/home/jchen790/cylinder flow lab
##   Job Started : Mon Jul  6 10:33:30 PM EDT 2026
###############################################################################
[OK] _optimize._minimize_bfgs loaded — SSBroyden / SSBFGS variants available
Loaded Re40.vtk  cells=8234
Model: width=96, depth=5, params=38018
Loss weights: adaptive during Adam, frozen during BFGS
Cylinder no-slip: enforced hard through stream-function lifting
CFD-aware PDE residual: n_cfd_pde=8000, lambda_pde_cfd=1.0
[PT  ] pseudo-time stepping ENABLED  w_init=1.0  ema=0.9
  [PT] w=3.8855  (raw=4.9493  ‖ΔR‖=3.805e+01  ‖Δu‖=7.688e+00)
  [PT] w=3.7816  (raw=2.8470  ‖ΔR‖=2.120e+01  ‖Δu‖=7.445e+00)
  [PT] w=3.8849  (raw=4.8145  ‖ΔR‖=3.396e+01  ‖Δu‖=7.055e+00)
  [PT] w=3.7814  (raw=2.8499  ‖ΔR‖=1.885e+01  ‖Δu‖=6.615e+00)
  [PT] w=3.6539  (raw=2.5065  ‖ΔR‖=2.777e+01  ‖Δu‖=1.108e+01)
  [PT] w=3.5746  (raw=2.8608  ‖ΔR‖=4.761e+01  ‖Δu‖=1.664e+01)
[Adam] ep=   40  total=2.829e+00  PDE=3.294e-02 [colloc=3.034e-02, cfd=2.595e-03] (w=1.389)  IN=5.134e-01 (w=1.525)  TB=6.978e-01 (w=1.657)  WALL=1.151e-15 (w=0.200)  OUT=3.477e-03 (w=0.306)  DATA=2.131e-01 (w=3.954)
  [PT] w=3.4663  (raw=2.4921  ‖ΔR‖=2.937e+01  ‖Δu‖=1.178e+01)
  [PT] w=3.7711  (raw=6.5137  ‖ΔR‖=4.247e+01  ‖Δu‖=6.521e+00)
  [PT] w=3.7340  (raw=3.4002  ‖ΔR‖=1.822e+01  ‖Δu‖=5.358e+00)
  [PT] w=3.8414  (raw=4.8075  ‖ΔR‖=5.333e+01  ‖Δu‖=1.109e+01)
  [PT] w=3.7296  (raw=2.7237  ‖ΔR‖=3.143e+01  ‖Δu‖=1.154e+01)
  [PT] w=3.8339  (raw=4.7731  ‖ΔR‖=4.743e+01  ‖Δu‖=9.937e+00)
  [PT] w=3.6991  (raw=2.4856  ‖ΔR‖=9.908e+00  ‖Δu‖=3.986e+00)
  [PT] w=3.8391  (raw=5.0988  ‖ΔR‖=5.595e+01  ‖Δu‖=1.097e+01)
  [PT] w=3.6863  (raw=2.3111  ‖ΔR‖=2.330e+01  ‖Δu‖=1.008e+01)
  [PT] w=4.0018  (raw=6.8418  ‖ΔR‖=7.106e+01  ‖Δu‖=1.039e+01)
  [PT] w=3.8978  (raw=2.9616  ‖ΔR‖=1.591e+01  ‖Δu‖=5.373e+00)
  [PT] w=4.0971  (raw=5.8907  ‖ΔR‖=5.626e+01  ‖Δu‖=9.551e+00)
  [PT] w=4.1890  (raw=5.0159  ‖ΔR‖=6.292e+01  ‖Δu‖=1.254e+01)
  [PT] w=4.0498  (raw=2.7969  ‖ΔR‖=3.498e+01  ‖Δu‖=1.251e+01)
  [PT] w=4.1346  (raw=4.8983  ‖ΔR‖=7.368e+01  ‖Δu‖=1.504e+01)
  [PT] w=4.0422  (raw=3.2108  ‖ΔR‖=1.786e+01  ‖Δu‖=5.562e+00)
  [PT] w=4.1008  (raw=4.6278  ‖ΔR‖=5.281e+01  ‖Δu‖=1.141e+01)
  [PT] w=3.9392  (raw=2.4844  ‖ΔR‖=3.762e+01  ‖Δu‖=1.514e+01)
  [PT] w=3.8775  (raw=3.3223  ‖ΔR‖=3.504e+01  ‖Δu‖=1.055e+01)
  [PT] w=3.9362  (raw=4.4644  ‖ΔR‖=4.941e+01  ‖Δu‖=1.107e+01)
[Adam] ep=   60  total=1.422e+00  PDE=1.164e-01 [colloc=1.092e-01, cfd=7.170e-03] (w=1.342)  IN=1.656e-01 (w=1.413)  TB=3.526e-01 (w=1.783)  WALL=2.418e-15 (w=0.200)  OUT=2.607e-03 (w=0.241)  DATA=1.023e-01 (w=3.929)
  [PT] w=3.8521  (raw=3.0960  ‖ΔR‖=2.586e+01  ‖Δu‖=8.354e+00)
  [PT] w=3.8475  (raw=3.8058  ‖ΔR‖=6.521e+01  ‖Δu‖=1.713e+01)
  [PT] w=3.9705  (raw=5.0772  ‖ΔR‖=3.955e+01  ‖Δu‖=7.789e+00)
  [PT] w=4.1954  (raw=6.2202  ‖ΔR‖=5.731e+01  ‖Δu‖=9.214e+00)
  [PT] w=4.1131  (raw=3.3725  ‖ΔR‖=4.127e+01  ‖Δu‖=1.224e+01)
  [PT] w=4.8701  (raw=11.6828  ‖ΔR‖=1.277e+02  ‖Δu‖=1.093e+01)
  [PT] w=5.2207  (raw=8.3763  ‖ΔR‖=5.131e+01  ‖Δu‖=6.126e+00)
  [PT] w=5.0803  (raw=3.8159  ‖ΔR‖=5.966e+01  ‖Δu‖=1.563e+01)
  [PT] w=5.1114  (raw=5.3921  ‖ΔR‖=1.342e+02  ‖Δu‖=2.488e+01)
  [PT] w=5.3499  (raw=7.4957  ‖ΔR‖=1.073e+02  ‖Δu‖=1.432e+01)
  [PT] w=5.2592  (raw=4.4435  ‖ΔR‖=5.262e+01  ‖Δu‖=1.184e+01)
  [PT] w=5.1140  (raw=3.8066  ‖ΔR‖=7.304e+01  ‖Δu‖=1.919e+01)
  [PT] w=5.0606  (raw=4.5802  ‖ΔR‖=1.242e+02  ‖Δu‖=2.712e+01)
  [PT] w=4.9286  (raw=3.7409  ‖ΔR‖=5.178e+01  ‖Δu‖=1.384e+01)
  [PT] w=4.9585  (raw=5.2278  ‖ΔR‖=4.634e+01  ‖Δu‖=8.864e+00)
  [PT] w=4.9605  (raw=4.9785  ‖ΔR‖=9.559e+01  ‖Δu‖=1.920e+01)
  [PT] w=4.7484  (raw=2.8392  ‖ΔR‖=3.195e+01  ‖Δu‖=1.125e+01)
  [PT] w=5.4058  (raw=11.3221  ‖ΔR‖=1.032e+02  ‖Δu‖=9.119e+00)
  [PT] w=5.6520  (raw=7.8682  ‖ΔR‖=3.874e+01  ‖Δu‖=4.924e+00)
  [PT] w=5.4923  (raw=4.0547  ‖ΔR‖=6.445e+01  ‖Δu‖=1.589e+01)
[Adam] ep=   80  total=1.497e+00  PDE=3.706e-01 [colloc=3.599e-01, cfd=1.072e-02] (w=2.588)  IN=7.297e-02 (w=1.062)  TB=1.585e-01 (w=1.442)  WALL=4.743e-15 (w=0.200)  OUT=4.378e-03 (w=0.229)  DATA=6.597e-02 (w=3.493)
  [PT] w=5.4728  (raw=5.2976  ‖ΔR‖=1.259e+02  ‖Δu‖=2.377e+01)
  [PT] w=5.3251  (raw=3.9954  ‖ΔR‖=5.187e+01  ‖Δu‖=1.298e+01)
  [PT] w=5.1940  (raw=4.0140  ‖ΔR‖=4.913e+01  ‖Δu‖=1.224e+01)
  [PT] w=5.1910  (raw=5.1640  ‖ΔR‖=9.771e+01  ‖Δu‖=1.892e+01)
  [PT] w=5.0380  (raw=3.6611  ‖ΔR‖=7.447e+01  ‖Δu‖=2.034e+01)
  [PT] w=4.9427  (raw=4.0855  ‖ΔR‖=5.259e+01  ‖Δu‖=1.287e+01)
  [PT] w=5.0971  (raw=6.4869  ‖ΔR‖=8.829e+01  ‖Δu‖=1.361e+01)
  [PT] w=4.8916  (raw=3.0414  ‖ΔR‖=2.809e+01  ‖Δu‖=9.236e+00)
  [PT] w=5.2335  (raw=8.3113  ‖ΔR‖=9.910e+01  ‖Δu‖=1.192e+01)
  [PT] w=5.8333  (raw=11.2310  ‖ΔR‖=4.131e+01  ‖Δu‖=3.679e+00)
  [PT] w=5.6264  (raw=3.7646  ‖ΔR‖=5.007e+01  ‖Δu‖=1.330e+01)
  [PT] w=5.5156  (raw=4.5185  ‖ΔR‖=1.000e+02  ‖Δu‖=2.214e+01)
  [PT] w=5.2604  (raw=2.9632  ‖ΔR‖=3.240e+01  ‖Δu‖=1.093e+01)
  [PT] w=5.2864  (raw=5.5202  ‖ΔR‖=4.840e+01  ‖Δu‖=8.767e+00)
  [PT] w=5.1576  (raw=3.9991  ‖ΔR‖=5.482e+01  ‖Δu‖=1.371e+01)
  [PT] w=5.2932  (raw=6.5129  ‖ΔR‖=4.362e+01  ‖Δu‖=6.697e+00)
  [PT] w=5.2073  (raw=4.4342  ‖ΔR‖=8.337e+01  ‖Δu‖=1.880e+01)
  [PT] w=4.9645  (raw=2.7796  ‖ΔR‖=3.678e+01  ‖Δu‖=1.323e+01)
  [PT] w=5.1215  (raw=6.5341  ‖ΔR‖=9.100e+01  ‖Δu‖=1.393e+01)
  [PT] w=5.3139  (raw=7.0460  ‖ΔR‖=4.628e+01  ‖Δu‖=6.569e+00)
[Adam] ep=  100  total=1.656e+00  PDE=3.670e-01 [colloc=3.597e-01, cfd=7.352e-03] (w=2.629)  IN=7.758e-02 (w=1.066)  TB=1.439e-01 (w=1.367)  WALL=1.154e-14 (w=0.200)  OUT=1.680e-03 (w=0.200)  DATA=1.087e-01 (w=3.780)
  [PT] w=5.1373  (raw=3.5472  ‖ΔR‖=3.912e+01  ‖Δu‖=1.103e+01)
  [PT] w=5.0699  (raw=4.4637  ‖ΔR‖=8.451e+01  ‖Δu‖=1.893e+01)
  [PT] w=4.8173  (raw=2.5444  ‖ΔR‖=3.752e+01  ‖Δu‖=1.475e+01)
  [PT] w=4.8259  (raw=4.9033  ‖ΔR‖=5.396e+01  ‖Δu‖=1.101e+01)
  [PT] w=5.5101  (raw=11.6677  ‖ΔR‖=2.978e+01  ‖Δu‖=2.552e+00)
  [PT] w=5.3167  (raw=3.5761  ‖ΔR‖=5.484e+01  ‖Δu‖=1.533e+01)
  [PT] w=5.0963  (raw=3.1126  ‖ΔR‖=5.018e+01  ‖Δu‖=1.612e+01)
  [PT] w=5.2630  (raw=6.7638  ‖ΔR‖=8.161e+01  ‖Δu‖=1.207e+01)
  [PT] w=5.0628  (raw=3.2607  ‖ΔR‖=1.613e+01  ‖Δu‖=4.948e+00)
  [PT] w=5.0995  (raw=5.4298  ‖ΔR‖=5.991e+01  ‖Δu‖=1.103e+01)
  [PT] w=5.1861  (raw=5.9655  ‖ΔR‖=1.157e+02  ‖Δu‖=1.939e+01)
  [PT] w=5.0927  (raw=4.2515  ‖ΔR‖=3.856e+01  ‖Δu‖=9.069e+00)
  [PT] w=5.0945  (raw=5.1113  ‖ΔR‖=3.890e+01  ‖Δu‖=7.611e+00)
  [PT] w=5.2406  (raw=6.5549  ‖ΔR‖=9.511e+01  ‖Δu‖=1.451e+01)
  [PT] w=5.0468  (raw=3.3035  ‖ΔR‖=3.783e+01  ‖Δu‖=1.145e+01)
  [PT] w=5.0227  (raw=4.8058  ‖ΔR‖=4.834e+01  ‖Δu‖=1.006e+01)
  [PT] w=5.0547  (raw=5.3419  ‖ΔR‖=3.132e+01  ‖Δu‖=5.863e+00)
  [PT] w=5.0663  (raw=5.1712  ‖ΔR‖=3.489e+01  ‖Δu‖=6.747e+00)
  [PT] w=5.0125  (raw=4.5278  ‖ΔR‖=4.060e+01  ‖Δu‖=8.967e+00)
  [PT] w=4.9783  (raw=4.6713  ‖ΔR‖=4.044e+01  ‖Δu‖=8.657e+00)
[Adam] ep=  120  total=5.893e-01  PDE=4.771e-02 [colloc=4.482e-02, cfd=2.889e-03] (w=2.326)  IN=7.772e-02 (w=1.161)  TB=1.319e-01 (w=1.501)  WALL=4.785e-16 (w=0.200)  OUT=1.635e-03 (w=0.200)  DATA=4.825e-02 (w=3.934)
  [PT] w=4.7857  (raw=3.0521  ‖ΔR‖=1.360e+01  ‖Δu‖=4.457e+00)
  [PT] w=4.5689  (raw=2.6178  ‖ΔR‖=4.221e+01  ‖Δu‖=1.612e+01)
  [PT] w=4.6079  (raw=4.9585  ‖ΔR‖=3.633e+01  ‖Δu‖=7.326e+00)
  [PT] w=4.6488  (raw=5.0168  ‖ΔR‖=4.381e+01  ‖Δu‖=8.732e+00)
  [PT] w=4.4585  (raw=2.7458  ‖ΔR‖=3.018e+01  ‖Δu‖=1.099e+01)
  [PT] w=4.4203  (raw=4.0768  ‖ΔR‖=7.132e+01  ‖Δu‖=1.749e+01)
  [PT] w=4.2510  (raw=2.7269  ‖ΔR‖=2.738e+01  ‖Δu‖=1.004e+01)
  [PT] w=4.5077  (raw=6.8182  ‖ΔR‖=6.749e+01  ‖Δu‖=9.899e+00)
  [PT] w=4.3480  (raw=2.9106  ‖ΔR‖=2.036e+01  ‖Δu‖=6.995e+00)
  [PT] w=4.3630  (raw=4.4985  ‖ΔR‖=8.234e+01  ‖Δu‖=1.830e+01)
  [PT] w=4.1802  (raw=2.5351  ‖ΔR‖=4.317e+01  ‖Δu‖=1.703e+01)
  [PT] w=4.3284  (raw=5.6617  ‖ΔR‖=1.003e+02  ‖Δu‖=1.771e+01)
  [PT] w=4.5658  (raw=6.7025  ‖ΔR‖=3.526e+01  ‖Δu‖=5.261e+00)
  [PT] w=4.5530  (raw=4.4378  ‖ΔR‖=4.074e+01  ‖Δu‖=9.180e+00)
  [PT] w=4.5878  (raw=4.9012  ‖ΔR‖=9.025e+01  ‖Δu‖=1.841e+01)
  [PT] w=4.3851  (raw=2.5603  ‖ΔR‖=3.699e+01  ‖Δu‖=1.445e+01)
  [PT] w=4.4029  (raw=4.5633  ‖ΔR‖=7.778e+01  ‖Δu‖=1.704e+01)
  [PT] w=4.2498  (raw=2.8718  ‖ΔR‖=3.553e+01  ‖Δu‖=1.237e+01)
  [PT] w=4.7598  (raw=9.3496  ‖ΔR‖=9.199e+01  ‖Δu‖=9.839e+00)
  [PT] w=5.1711  (raw=8.8729  ‖ΔR‖=2.437e+01  ‖Δu‖=2.747e+00)
[Adam] ep=  140  total=1.261e+00  PDE=2.896e-01 [colloc=2.857e-01, cfd=3.921e-03] (w=2.634)  IN=6.805e-02 (w=1.082)  TB=8.455e-02 (w=1.295)  WALL=7.355e-15 (w=0.200)  OUT=2.217e-03 (w=0.200)  DATA=7.746e-02 (w=4.058)
  [PT] w=5.1083  (raw=4.5435  ‖ΔR‖=5.246e+01  ‖Δu‖=1.155e+01)
  [PT] w=5.1606  (raw=5.6311  ‖ΔR‖=1.112e+02  ‖Δu‖=1.975e+01)
  [PT] w=5.0362  (raw=3.9171  ‖ΔR‖=3.920e+01  ‖Δu‖=1.001e+01)
  [PT] w=4.9613  (raw=4.2869  ‖ΔR‖=4.227e+01  ‖Δu‖=9.860e+00)
  [PT] w=5.0359  (raw=5.7071  ‖ΔR‖=9.451e+01  ‖Δu‖=1.656e+01)
  [PT] w=4.8432  (raw=3.1093  ‖ΔR‖=1.542e+01  ‖Δu‖=4.958e+00)
  [PT] w=5.1747  (raw=8.1578  ‖ΔR‖=6.783e+01  ‖Δu‖=8.315e+00)
  [PT] w=4.9180  (raw=2.6077  ‖ΔR‖=2.307e+01  ‖Δu‖=8.847e+00)
  [PT] w=4.9898  (raw=5.6357  ‖ΔR‖=7.846e+01  ‖Δu‖=1.392e+01)
  [PT] w=4.7673  (raw=2.7652  ‖ΔR‖=1.687e+01  ‖Δu‖=6.101e+00)
  [PT] w=4.8247  (raw=5.3413  ‖ΔR‖=5.491e+01  ‖Δu‖=1.028e+01)
  [PT] w=4.7968  (raw=4.5460  ‖ΔR‖=7.042e+01  ‖Δu‖=1.549e+01)
  [PT] w=4.6100  (raw=2.9289  ‖ΔR‖=2.533e+01  ‖Δu‖=8.647e+00)
  [PT] w=4.8187  (raw=6.6970  ‖ΔR‖=7.201e+01  ‖Δu‖=1.075e+01)
  [PT] w=4.6395  (raw=3.0265  ‖ΔR‖=1.870e+01  ‖Δu‖=6.178e+00)
  [PT] w=4.9705  (raw=7.9496  ‖ΔR‖=8.859e+01  ‖Δu‖=1.114e+01)
  [PT] w=4.8154  (raw=3.4192  ‖ΔR‖=2.810e+01  ‖Δu‖=8.217e+00)
  [PT] w=4.7894  (raw=4.5557  ‖ΔR‖=6.302e+01  ‖Δu‖=1.383e+01)
  [PT] w=4.9528  (raw=6.4229  ‖ΔR‖=1.281e+02  ‖Δu‖=1.994e+01)
  [PT] w=5.0307  (raw=5.7316  ‖ΔR‖=5.775e+01  ‖Δu‖=1.008e+01)
[Adam] ep=  160  total=1.704e+00  PDE=4.515e-01 [colloc=4.490e-01, cfd=2.520e-03] (w=2.750)  IN=6.713e-02 (w=1.099)  TB=8.487e-02 (w=1.230)  WALL=1.506e-14 (w=0.200)  OUT=2.103e-03 (w=0.200)  DATA=7.554e-02 (w=3.748)
  [PT] w=4.8512  (raw=3.2357  ‖ΔR‖=2.554e+01  ‖Δu‖=7.893e+00)
  [PT] w=4.8993  (raw=5.3322  ‖ΔR‖=7.311e+01  ‖Δu‖=1.371e+01)
  [PT] w=4.9926  (raw=5.8323  ‖ΔR‖=1.175e+02  ‖Δu‖=2.015e+01)
  [PT] w=4.9222  (raw=4.2891  ‖ΔR‖=4.602e+01  ‖Δu‖=1.073e+01)
  [PT] w=4.8491  (raw=4.1912  ‖ΔR‖=2.894e+01  ‖Δu‖=6.906e+00)
  [PT] w=5.0222  (raw=6.5800  ‖ΔR‖=8.186e+01  ‖Δu‖=1.244e+01)
  [PT] w=4.7577  (raw=2.3775  ‖ΔR‖=1.532e+01  ‖Δu‖=6.445e+00)
  [PT] w=5.4051  (raw=11.2317  ‖ΔR‖=6.723e+01  ‖Δu‖=5.986e+00)
  [PT] w=5.1738  (raw=3.0915  ‖ΔR‖=1.697e+01  ‖Δu‖=5.489e+00)
  [PT] w=5.1479  (raw=4.9148  ‖ΔR‖=6.133e+01  ‖Δu‖=1.248e+01)
  [PT] w=5.1338  (raw=5.0068  ‖ΔR‖=4.948e+01  ‖Δu‖=9.883e+00)
  [PT] w=4.9038  (raw=2.8337  ‖ΔR‖=3.429e+01  ‖Δu‖=1.210e+01)
  [PT] w=4.9237  (raw=5.1029  ‖ΔR‖=7.680e+01  ‖Δu‖=1.505e+01)
  [PT] w=4.7708  (raw=3.3951  ‖ΔR‖=1.511e+01  ‖Δu‖=4.450e+00)
  [PT] w=4.8059  (raw=5.1215  ‖ΔR‖=4.705e+01  ‖Δu‖=9.187e+00)
  [PT] w=4.7138  (raw=3.8847  ‖ΔR‖=7.803e+01  ‖Δu‖=2.009e+01)
  [PT] w=4.5074  (raw=2.6506  ‖ΔR‖=2.978e+01  ‖Δu‖=1.124e+01)
  [PT] w=4.9276  (raw=8.7095  ‖ΔR‖=5.900e+01  ‖Δu‖=6.774e+00)
  [PT] w=4.8772  (raw=4.4234  ‖ΔR‖=5.735e+01  ‖Δu‖=1.297e+01)
  [PT] w=4.6784  (raw=2.8886  ‖ΔR‖=2.658e+01  ‖Δu‖=9.200e+00)
[Adam] ep=  180  total=6.955e-01  PDE=1.338e-01 [colloc=1.304e-01, cfd=3.357e-03] (w=2.552)  IN=7.177e-02 (w=1.211)  TB=9.387e-02 (w=1.314)  WALL=1.228e-15 (w=0.200)  OUT=1.940e-03 (w=0.200)  DATA=3.834e-02 (w=3.742)
  [PT] w=4.9428  (raw=7.3227  ‖ΔR‖=7.627e+01  ‖Δu‖=1.042e+01)
  [PT] w=4.7813  (raw=3.3281  ‖ΔR‖=2.386e+01  ‖Δu‖=7.169e+00)
  [PT] w=4.7354  (raw=4.3225  ‖ΔR‖=4.740e+01  ‖Δu‖=1.097e+01)
  [PT] w=4.8846  (raw=6.2266  ‖ΔR‖=8.143e+01  ‖Δu‖=1.308e+01)
  [PT] w=4.7389  (raw=3.4283  ‖ΔR‖=2.305e+01  ‖Δu‖=6.724e+00)
  [PT] w=4.7233  (raw=4.5822  ‖ΔR‖=4.301e+01  ‖Δu‖=9.387e+00)
  [PT] w=4.8239  (raw=5.7301  ‖ΔR‖=8.871e+01  ‖Δu‖=1.548e+01)
  [PT] w=4.6846  (raw=3.4306  ‖ΔR‖=2.406e+01  ‖Δu‖=7.014e+00)
  [PT] w=4.8915  (raw=6.7540  ‖ΔR‖=4.258e+01  ‖Δu‖=6.304e+00)
  [PT] w=5.0933  (raw=6.9095  ‖ΔR‖=9.210e+01  ‖Δu‖=1.333e+01)
  [PT] w=5.0827  (raw=4.9870  ‖ΔR‖=2.808e+01  ‖Δu‖=5.631e+00)
  [PT] w=5.0634  (raw=4.8895  ‖ΔR‖=3.585e+01  ‖Δu‖=7.331e+00)
  [PT] w=5.1947  (raw=6.3762  ‖ΔR‖=8.735e+01  ‖Δu‖=1.370e+01)
  [PT] w=5.4397  (raw=7.6454  ‖ΔR‖=3.321e+01  ‖Δu‖=4.344e+00)
  [PT] w=5.3141  (raw=4.1831  ‖ΔR‖=2.303e+01  ‖Δu‖=5.505e+00)
  [PT] w=5.3306  (raw=5.4789  ‖ΔR‖=6.915e+01  ‖Δu‖=1.262e+01)
  [PT] w=5.0859  (raw=2.8844  ‖ΔR‖=1.516e+01  ‖Δu‖=5.254e+00)
  [PT] w=5.1699  (raw=5.9252  ‖ΔR‖=4.383e+01  ‖Δu‖=7.397e+00)
  [PT] w=5.2144  (raw=5.6154  ‖ΔR‖=4.185e+01  ‖Δu‖=7.452e+00)
  [PT] w=5.0314  (raw=3.3841  ‖ΔR‖=3.925e+01  ‖Δu‖=1.160e+01)
[Adam] ep=  200  total=5.003e-01  PDE=5.253e-02 [colloc=5.015e-02, cfd=2.384e-03] (w=2.315)  IN=8.421e-02 (w=1.307)  TB=9.430e-02 (w=1.417)  WALL=1.958e-16 (w=0.200)  OUT=2.328e-03 (w=0.210)  DATA=3.633e-02 (w=3.700)
  [PT] w=4.9919  (raw=4.6363  ‖ΔR‖=5.707e+01  ‖Δu‖=1.231e+01)
  [PT] w=4.7448  (raw=2.5215  ‖ΔR‖=2.837e+01  ‖Δu‖=1.125e+01)
  [PT] w=4.7027  (raw=4.3230  ‖ΔR‖=6.117e+01  ‖Δu‖=1.415e+01)
  [PT] w=4.5306  (raw=2.9821  ‖ΔR‖=5.483e+01  ‖Δu‖=1.838e+01)
  [PT] w=4.3271  (raw=2.4960  ‖ΔR‖=3.829e+01  ‖Δu‖=1.534e+01)
  [PT] w=4.4178  (raw=5.2337  ‖ΔR‖=5.189e+01  ‖Δu‖=9.914e+00)
  [PT] w=4.2201  (raw=2.4411  ‖ΔR‖=2.116e+01  ‖Δu‖=8.670e+00)
  [PT] w=4.2207  (raw=4.2262  ‖ΔR‖=7.769e+01  ‖Δu‖=1.838e+01)
  [PT] w=4.0488  (raw=2.5018  ‖ΔR‖=3.361e+01  ‖Δu‖=1.344e+01)
  [PT] w=4.1837  (raw=5.3977  ‖ΔR‖=6.053e+01  ‖Δu‖=1.121e+01)
  [PT] w=4.1508  (raw=3.8544  ‖ΔR‖=6.152e+01  ‖Δu‖=1.596e+01)
  [PT] w=3.9744  (raw=2.3867  ‖ΔR‖=4.103e+01  ‖Δu‖=1.719e+01)
